구분,호텔명,검색건수,주소
서귀포시,신라호텔제주,"71,597",중문관광로72번길 75
서귀포시,롯데호텔제주점,"58,316",중문관광로72번길 35
서귀포시,해비치호텔,"52,836",민속해안로 537
서귀포시,그랜드조선제주,"45,399",중문관광로72번길 60
서귀포시,제주부영호텔&리조트,"41,580",중문관광로 222
서귀포시,호텔더본제주,"38,907",색달로 18
서귀포시,히든클리프호텔앤네이쳐,"34,919",예래해안로 542
서귀포시,서귀포칼호텔,"30,402",칠십리로 242
서귀포시,더베스트제주성산,"21,900",동류암로 26
서귀포시,골든데이지호텔제주서귀포오션,"21,747",동홍로 7
서귀포시,제주오션팰리스호텔,"21,494",중앙로 14
서귀포시,토스카나호텔제주,"19,803",용흥로66번길 158-7
서귀포시,브라운스위트제주호텔앤리조트,"19,181",고성오조로 94
서귀포시,WE호텔,"18,242",1100로 453-95
서귀포시,코업시티호텔하버뷰,"17,805",태위로 108
서귀포시,더그랜드섬오름,"17,418",막숙포로 114
서귀포시,퍼스트70호텔,"16,979",명동로 46
서귀포시,신신호텔천지연점,"16,931",서문로 42-1
서귀포시,골든튤립제주성산호텔,"16,817",일출로 31
서귀포시,서귀포JS호텔,"16,728",김정문화로 51
서귀포시,신신호텔제주월드컵점,"16,209",서호중로 55
서귀포시,플레이스캠프제주,"15,989",동류암로 20
서귀포시,파크선샤인제주,"15,207",남성중로 135
서귀포시,노블피아호텔,"14,138",명동로 46
서귀포시,이스턴호텔제주,"14,064",서호중로 65
서귀포시,신신호텔서귀포점,"13,550",태평로371번길 18
서귀포시,코델리아S호텔,"13,437",일주동로 4186
서귀포시,호텔브릿지서귀포,"13,149",태평로 436
서귀포시,디아일랜드블루호텔,"12,958",태평로431번길 3
서귀포시,호텔윈스카이,"12,208",신중남로 17
서귀포시,스위트호텔제주,"11,825",중문관광로72번길 67
서귀포시,코업시티호텔성산,"11,768",성산등용로 28
서귀포시,빠레브호텔,"11,554",김정문화로 15
서귀포시,제주항공우주호텔,"11,550",녹차분재로 216
서귀포시,엠스테이호텔제주,"11,521",태평로353번길 14
서귀포시,제주호텔더엠,"11,213",태평로353번길 14
서귀포시,호텔케니서귀포,"11,188",동문로 42
서귀포시,카사로마호텔,"11,091",태평로 347
서귀포시,타마라제주,"10,648",김정문화로41번길 10-8
서귀포시,켄싱턴리조트제주중문,"10,511",중문관광로72번길 29-29
서귀포시,헤이서귀포,"10,257",태평로 363
서귀포시,디아넥스,"10,144",산록남로762번길 71
서귀포시,웨스턴그레이스호텔제주,"10,103",김정문화로27번길 9-7
서귀포시,스위트메이서귀포호텔,"9,866",김정문화로27번길 9-1
서귀포시,브릿지레지던스호텔,"9,534",김정문화로 49
서귀포시,씨에스호텔&리조트,"9,450",중문관광로 198
서귀포시,호텔윈스토리,"9,254",중정로 11
서귀포시,비스타케이호텔월드컵,"8,936",김정문화로41번길 10-6
서귀포시,포도호텔,"8,844",산록남로 863
서귀포시,그랜드메르호텔제주,"7,897",논짓물로 45
서귀포시,서귀포호텔,"7,430",상예로 319
서귀포시,블룸호텔제주,"6,996",중문관광로72번길 53
서귀포시,그랜드밀리언스호텔서귀포,"6,821",서호중앙로 84
서귀포시,유어스호텔,"6,233",천제연로178번길 21
서귀포시,에프케이알레그리아호텔,"6,177",중앙로47번길 25
제주시,그랜드하얏트제주,"96,070",노연로 12
제주시,메종글래드제주호텔,"50,226",노연로 80
제주시,라마다프라자제주호텔,"41,339",탑동로 66
제주시,신라스테이제주,"32,103",노연로 100
제주시,롯데시티호텔제주,"29,499",도령로 83
제주시,호텔리젠트마린,"28,415",서부두2길 20
제주시,라마다제주시티홀호텔,"27,373",중앙로 304
제주시,베스트웨스턴제주호텔,"27,191",도령로 27
제주시,호텔휘슬락,"26,818",서부두2길 26
제주시,호텔난타,"25,194",선돌목동길 56-26
제주시,글로스터호텔제주,"23,179",삼무로 57
제주시,호텔시리우스제주,"21,861",도령로 133
제주시,오션스위츠제주호텔,"19,798",탑동해안로 74
제주시,그라벨호텔제주,"17,350",일주서로 7316
제주시,유탑유블레스호텔제주,"15,500",조함해안로 502
제주시,다인오세아노호텔,"14,878",애월해안로 394
제주시,탐라스테이호텔제주,"14,806",애월해안로 881
제주시,아시아제주노형호텔,"13,486",노연로 53
제주시,베니키아호텔제주,"13,364",애월해안로 554-10
제주시,호텔위드제주,"13,215",노연로 34
제주시,제주센트럴시티호텔,"12,089",노연로 66
제주시,호텔에어시티제주,"11,974",삼무로 56
제주시,라마다바이윈덤제주더함덕호텔,"11,743",신북로 470
제주시,오리엔탈호텔제주,"11,720",탑동로 47
제주시,벤티모호텔앤레지던스 제주,"10,771",연삼로 14
제주시,신신호텔제주공항점,"10,589",도령로 124
제주시,에벤에셀호텔,"10,363",조함해안로 504
제주시,제주칼호텔,"10,141",중앙로 151
제주시,호텔샬롬제주,"9,667",동광로 34
제주시,아스타호텔,"9,330",서사로 129
제주시,호텔더원,"9,126",사장3길 33
제주시,유니호텔,"8,822",애월해안로 656
제주시,스타즈호텔제주로베로점,"8,045",관덕로 26
제주시,팜파스호텔제주,"7,850",서해안로 368-3
제주시,제주노블레스관광호텔,"7,558",월성로4길 19
제주시,더스테이센추리호텔,"7,181",일주서로 7113
제주시,호텔레오,"7,143",삼무로 14
제주시,샐리스제주호텔,"7,016",고내로 46
제주시,블루하와이호텔,"6,877",한림로 75
제주시,제주펄관광호텔,"6,697",신대로20길 49
제주시,빌라드애월호텔,"6,534",애월해안로 516-7
제주시,제주해군호텔,"6,005",해안마을서2길 19
제주시,리치호텔,"5,951",고내로13길 100
제주시,호텔스위트캐슬,"5,950",신북로 443
제주시,씨앤호텔,"5,746",일주서로 7490
